macaddress,ownership_type
53:a9:9c:b9:37:ae,Company
22:92:e4:31:c3:37,Company
ba:49:a3:af:e8:6a,Personal
90:59:0f:2c:17:13,Company
3f:e2:4d:27:89:fc,Company
c0:12:18:4b:a8:62,Company
46:fc:f1:ab:db:cf,Company
bc:c0:d5:34:04:af,Company
ca:6f:c8:21:9d:9f,Company
5c:68:f2:58:b6:b4,Company
52:77:d6:37:37:01,Personal
00:05:1f:8e:c3:19,Company
ab:a9:70:72:2a:4f,Personal
c4:11:e7:1c:1e:f8,Personal
24:0a:9b:ac:39:d5,Company
fc:75:ab:39:59:3d,Company
b3:f9:80:10:a9:cf,Personal
cb:cd:46:5d:ac:2b,Personal
c9:62:32:c8:55:70,Company
29:dc:27:2d:f1:51,Company
a5:10:e8:c4:1b:b8,Company
14:4c:b4:26:59:0a,Personal
d0:22:ba:57:06:79,Company
a3:6f:a7:26:29:fb,Personal
9e:1c:48:0b:b1:82,Company
65:05:7b:71:cd:0a,Personal
dc:e2:1d:4f:c2:94,Personal
02:63:53:71:6c:cd,Personal
c3:24:a8:7b:3d:05,Personal
25:23:6b:67:41:3d,Company
d2:7d:c8:c4:d1:f9,Personal
31:7a:9e:85:f8:05,Personal
2b:b8:e6:d0:3a:14,Company
09:59:5f:d5:e5:93,Personal
78:d2:d0:aa:11:98,Personal
a1:38:7e:62:10:26,Personal
3a:16:b3:c4:be:b7,Company
f4:3d:25:46:92:6d,Personal
27:89:16:33:d4:1b,Company
52:8c:3e:17:55:6d,Company
f1:0d:31:de:df:2d,Company
0c:58:b9:ae:c3:8f,Company
81:f2:1d:0b:26:c0,Company
0c:6d:10:b4:47:ab,Personal
9e:de:21:eb:9e:e6,Company
45:3a:32:4b:49:5a,Company
1e:85:60:cb:5d:7f,Personal
94:0e:88:ee:ed:78,Company
ab:8c:01:d7:f2:72,Personal
80:27:f1:53:de:ba,Company
07:9a:ca:e3:23:27,Company
69:ef:76:0e:ba:f6,Company
a5:bc:29:d5:25:3e,Personal
84:5c:a7:0a:f6:a1,Personal
11:7f:6b:5f:68:b1,Personal
70:a8:00:07:d1:dd,Company
ab:ef:c5:8d:d2:7d,Company
d7:04:3b:fe:7b:55,Company
71:82:f7:60:1c:41,Company
ee:79:53:d7:91:55,Personal
b4:e3:26:93:7b:9b,Personal
a5:1f:f2:51:8a:fa,Personal
79:6b:d9:a6:40:8f,Company
cb:f6:7a:c3:91:b0,Personal
bb:de:49:c9:65:8f,Company
3d:3c:58:4b:5f:9b,Company
67:5a:91:87:31:78,Company
45:fc:0b:47:e1:61,Company
fd:fe:d1:22:45:c3,Personal
8b:2b:7d:2e:b8:01,Personal
70:1d:5c:d9:ef:39,Company
ba:dc:e0:67:39:15,Company
51:61:e1:e4:71:3f,Company
d9:4c:9a:be:f2:05,Company
3a:8d:26:69:1c:8b,Personal
b2:36:16:c0:e1:94,Personal
c7:d5:53:12:df:1b,Personal
27:61:9e:60:9b:b4,Company
6f:44:22:a5:5f:65,Company
58:27:43:49:44:92,Company
d6:e9:4f:86:72:76,Company
cd:b7:9d:d5:67:6c,Personal
f1:75:64:6c:fa:07,Personal
05:48:86:18:56:ef,Personal
38:98:c8:ed:98:42,Company
5c:95:83:3b:bc:ca,Company
72:09:60:f6:fb:67,Personal
3c:65:2b:67:34:f6,Company
bd:37:79:93:4d:6a,Personal
15:5e:c6:fb:21:26,Company
5b:d3:ec:b3:87:be,Personal
78:48:f0:a9:20:de,Company
88:c9:7a:db:0a:bd,Personal
87:fd:ce:ec:0e:bf,Company
4e:86:f9:fa:11:4e,Company
f8:72:57:7c:51:76,Personal
38:39:aa:e1:cc:07,Company
b9:11:b5:5f:b9:4d,Personal
66:d8:3f:a3:30:cb,Personal
0c:3e:4d:cb:05:fd,Company
a0:04:8b:90:e1:11,Personal
10:9d:b7:fe:59:a9,Company
05:e9:72:59:dc:49,Company
c6:6b:26:74:3a:fe,Company
7a:fd:ac:fc:c9:c5,Personal
41:2e:00:e4:45:4e,Personal
ae:83:0e:5e:c8:6c,Personal
76:02:fe:5b:d7:f7,Company
fe:56:21:69:47:ea,Company
fe:62:6f:41:07:f8,Company
67:46:37:41:a4:5e,Personal
ab:aa:da:55:88:b7,Personal
c8:b1:36:59:43:61,Personal
2f:8d:f0:b5:77:d3,Personal
ff:88:05:4d:9a:47,Personal
80:e5:af:a8:7d:b6,Personal
24:09:3d:05:ea:0b,Company
38:57:bb:62:76:d6,Company
56:07:b0:ab:84:56,Personal
b9:44:5d:10:11:68,Company
c2:8b:61:56:11:bb,Company
47:44:1f:26:86:80,Personal
f5:d1:0e:92:a1:cc,Company
c4:9c:29:65:bd:cf,Company
9b:c8:72:39:e6:51,Company
d1:78:da:16:1f:65,Personal
da:28:0b:0a:96:ef,Personal
7c:5a:f3:c0:e0:6a,Personal
3a:30:e0:3b:f1:fd,Company
0d:04:9d:eb:17:79,Personal
2f:12:ff:05:a7:2b,Company
3c:12:3e:ba:c8:e2,Personal
e6:61:f5:72:8b:b8,Company
7c:22:ba:d5:45:41,Personal
a7:16:63:23:7f:f2,Company
f9:82:56:76:4d:89,Company
ab:36:4b:48:4c:1d,Company
8c:ff:86:38:67:e5,Personal
06:c1:41:92:78:f9,Company
f9:26:a1:76:59:b7,Personal
a5:d8:f8:8b:02:93,Personal
15:55:0c:db:09:9a,Company
63:a5:4e:7a:ff:45,Company
4b:d3:55:75:cc:42,Company
df:be:73:97:55:d4,Personal
43:f6:80:e0:87:40,Personal
30:2e:59:2f:e8:6a,Company
31:f6:1c:6c:da:af,Personal
